_id,x,y,objectid,terminal_id,node,location,lot,rate,maxhours,date1,time1,date2,time2,restdates,resttime1,resttime2,specialev,created_user,created_date,last_edited_user,last_edited_date,ratetimea,ratetimeb,rate2
89647,-80.0338715355445,40.4407259366941,1034,369001-MAINLT0001,MAIN-ALE-L,MAIN/ALEXANDER LOT,LOT,$1 Per Hour,No Max,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89648,-79.9993754357208,40.454214607956,394,371566-EOHIOLOT2,EASTOHIO-L,EAST OHIO STREET LOT,Lot,$1.50 Per Hour,No Max,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89649,-79.9999916837545,40.4541159602792,395,371571-EOHIOLOT3,EASTOHIO-L,EAST OHIO STREET LOT,Lot,$1.50 Per Hour,No Max,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89650,-80.018559445747,40.4900101310801,396,375001-OBHILL0001,OBSERHIL-L,OBSERVATORY HILL LOT,Lot,$1.50 Per Hour,No Max,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89651,-79.9986815848773,40.4398125609378,125,401347-SMTHFD0403,DOWNTOWN1,SMITHFIELD, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , ,Mon - Fri,7AM - 9AM,4PM - 6PM,No,,,,, , , 
89652,-79.9974263108224,40.4418763817918,126,401350-SMTHFD0601,DOWNTOWN1,SMITHFIELD, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89653,-79.9969086443731,40.4425643080006,127,401351-SMTHFD0603,DOWNTOWN1,SMITHFIELD, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , ,Mon - Fri,7AM - 9AM,4PM - 6PM,No,,,,, , , 
89654,-79.9964982663045,40.4430725931708,128,401352-SMTHFD0701,DOWNTOWN1,SMITHFIELD, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , ,Mon - Fri,7AM - 9AM,4PM - 6PM,No,,,,, , , 
89655,-79.9953502804423,40.4424132506953,129,401353-7THAVE0402,DOWNTOWN1,7TH AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89656,-79.9968228134872,40.4402473771964,130,401356-OLIVER0402,DOWNTOWN1,OLIVER AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89657,-80.0006342339734,40.4442749068301,131,401358-7THST-0101,DOWNTOWN1,7TH ST, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89658,-79.9986762208127,40.4446239617425,132,401359-9THST-0101,DOWNTOWN1,9TH ST, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , ,Mon - Fri,3PM - 6PM, ,No,,,,, , , 
89659,-79.9970427547319,40.4407556798583,133,401360-WILLPN0504,DOWNTOWN1,WILLIAM PENN PL, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89660,-79.9975952899046,40.4400064934305,134,401361-WILLPN0502,DOWNTOWN1,WILLIAM PENN PL, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89661,-79.9954736622086,40.4439503456739,135,401362-10THST0202,DOWNTOWN1,10TH ST, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89662,,,0,PBP344,18-CARSO-L,Virtual Terminal for ParkMobile, , , , , , , , , , , ,,,,, , , 
89663,-79.9965993855226,40.4413693804182,136,401363-WILLPN0602,DOWNTOWN1,WILLIAM PENN PL, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89664,-79.9961361679047,40.4421131762254,137,401364-WILLPN0604,DOWNTOWN1,WILLIAM PENN PL, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89665,-80.0010902094809,40.4420253988829,138,401365-LIBRTY0602,DOWNTOWN1,LIBERTY AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , ,Mon - Fri,7AM - 9AM,4PM - 6PM,No,,,,, , , 
89666,-79.9985112647771,40.4428613183971,139,401366-LIBRTY0801,DOWNTOWN1,LIBERTY AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , ,Mon - Fri,7AM - 9AM,4PM - 6PM,No,,,,, , , 
89667,-79.9960610661326,40.4435175947059,140,401367-LIBRTY0901,DOWNTOWN1,LIBERTY AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89668,-79.997999542505,40.4439293507498,141,401368-PENAVE0901,DOWNTOWN1,PENN AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , ,Mon - Fri,7AM - 9AM,3PM - 6PM,No,,,,, , , 
89669,-79.9968952477053,40.4441921240228,142,401369-PENAVE0903,DOWNTOWN1,PENN AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , ,Mon - Fri,7AM - 9AM,3PM - 6PM,No,,,,, , , 
89670,-80.0010902096575,40.4444177949709,143,401370-FTDUQN0602,DOWNTOWN1,FORT DUQUESNE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,Yes,,,,, , , 
89671,-79.9991858407121,40.4450158807707,144,401371-FTDUQN0802,DOWNTOWN1,FORT DUQUESNE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,Yes,,,,, , , 
89672,-80.0042257128486,40.4428317192287,145,401372-STANWX0601,DOWNTOWN1,STANWIX ST, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , ,Mon - Fri,7AM - 9AM,4PM - 6PM,No,,,,, , , 
89673,-80.0036624486547,40.4411170008217,146,401374-FORBES0101,DOWNTOWN1,FORBES AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89674,-80.0017634440423,40.4405413356236,147,401376-FORBES0201,DOWNTOWN1,FORBES AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89675,-80.0001004738917,40.4399044236838,148,401378-FORBES0301,DOWNTOWN1,FORBES AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89676,-79.9994782011922,40.439692118366,149,401379-FORBES0303,DOWNTOWN1,FORBES AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89677,-80.0021553190298,40.4409005554286,150,401500-MKTSQR0001,DOWNTOWN1,MARKET SQ, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89678,-80.002927861599,40.4409328863099,151,401501-MKTSQR0002,DOWNTOWN1,MARKET SQ, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89679,-80.0025840479584,40.4403576379011,152,401502-MKTSQR0003,DOWNTOWN1,MARKET SQ, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89680,-80.0031022726673,40.4405172172015,153,401503-MKTSQR0004,DOWNTOWN1,MARKET SQ, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89681,-79.9979079997856,40.4390097598504,154,401509-FORBES0403,DOWNTOWN1,FORBES AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89682,-79.9984137671775,40.4440311142606,155,401518-9THST-0103,DOWNTOWN1,9TH ST, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , ,Mon - Fri,3PM - 6PM, ,No,,,,, , , 
89683,-79.9949509988134,40.4382273077469,156,401519-DIAMND0501,DOWNTOWN1,DIAMOND ST, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89684,-79.9938363536431,40.4408124316465,157,401520-CHATHM0002,DOWNTOWN1,CHATHAM SQ, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89685,,,0,PBP345,20-SIDNE-L,Virtual Terminal for ParkMobile, , , , , , , , , , , ,,,,, , , 
89686,-79.9935479752535,40.4407690736634,158,401521-CHATHM0001,DOWNTOWN1,CHATHAM SQ, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89687,-79.9951585581403,40.4396367172498,159,401522-ROSSST0501,DOWNTOWN1,ROSS ST, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , ,Mon - Fri,7AM - 10AM, ,No,,,,, , , 
89688,-79.9955018813311,40.4430090294978,160,401523-WILLPN0702,DOWNTOWN1,WILLIAM PENN PL, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89689,-79.996045270773,40.4444221448742,161,401524-PENAVE0905,DOWNTOWN1,PENN AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89690,-79.9985327782018,40.44179234684,162,401525-6THAVE0301,DOWNTOWN1,6TH AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89691,-80.0006094754254,40.4404873736983,163,401526-WOODST0404,DOWNTOWN1,WOOD ST, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , ,Mon - Fri,7AM - 9AM,4PM - 6PM,No,,,,, , , 
89692,-80.0002393305151,40.4411406110588,164,401527-WOODST0502,DOWNTOWN1,WOOD ST, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , ,Mon - Fri,7AM - 9AM,4PM - 6PM,No,,,,, , , 
89693,-80.001027233407,40.4402491349428,165,401529-FORBES0203,DOWNTOWN1,FORBES AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89694,-79.9989390768155,40.4370096642654,166,402382-1STAVE0401,DOWNTOWN2,1ST AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89695,-80.000266770701,40.4371791070189,167,402383-1STAVE0403,DOWNTOWN2,1ST AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89696,-79.9958679464205,40.4353417527361,168,402385-1STAVE0602,DOWNTOWN2,1ST AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89697,-79.9939018866,40.435280506807,169,402386-2NDAVE0702,DOWNTOWN2,2ND AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89698,-79.9934485931235,40.4351069761512,170,402387-2NDAVE0704,DOWNTOWN2,2ND AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89699,-79.9926895277165,40.4348211599776,171,402388-2NDAVE0706,DOWNTOWN2,2ND AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89700,-80.0024420430373,40.4392450499834,172,402390-3RDAVE0201,DOWNTOWN2,3RD AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89701,-80.0028765610353,40.4392899610652,173,402391-3RDAVE0202,DOWNTOWN2,3RD AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89702,-80.0001863044872,40.4382835370489,174,402392-3RDAVE0302,DOWNTOWN2,3RD AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89703,-80.0021633422644,40.4397977427952,175,402394-4THAVE0201,DOWNTOWN2,4TH AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89704,-80.0015819310222,40.4395632172591,176,402395-4THAVE0203,DOWNTOWN2,4TH AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89705,-80.0010159774568,40.4393270930463,177,402396-4THAVE0301,DOWNTOWN2,4TH AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89706,-80.0002176127704,40.4390363415759,178,402397-4THAVE0303,DOWNTOWN2,4TH AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89707,-79.9992720001833,40.4386812587827,179,402398-4THAVE0401,DOWNTOWN2,4TH AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89708,-79.9981760132017,40.4382710788278,180,402399-4THAVE0403,DOWNTOWN2,4TH AVE, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89709,-79.9976748829965,40.4369861700791,181,402400-COURT-0501,DOWNTOWN2,COURT PL, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , , , , ,No,,,,, , , 
89710,-80.0066531125708,40.4402984113511,182,402401-BLVDAL0001,DOWNTOWN2,BLVD OF ALLIES, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , ,Mon - Fri,7AM - 9AM,4PM - 6PM,No,,,,, , , 
89711,-80.0065216842704,40.4400554864173,183,402402-BLVDAL0002,DOWNTOWN2,BLVD OF ALLIES, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , ,Mon - Fri,7AM - 9AM,4PM - 6PM,No,,,,, , , 
89712,-80.0054756224059,40.4397145735122,184,402403-BLVDAL0004,DOWNTOWN2,BLVD OF ALLIES, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , ,Mon - Fri,7AM - 9AM,4PM - 6PM,No,,,,, , , 
89713,-80.0040540511453,40.4391307306135,185,402404-BLVDAL0102,DOWNTOWN2,BLVD OF ALLIES, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , ,Mon - Fri,7AM - 9AM,4PM - 6PM,No,,,,, , , 
89714,-80.0033298544673,40.4388592215271,187,402406-BLVDAL0202,DOWNTOWN2,BLVD OF ALLIES, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , ,Mon - Fri,7AM - 9AM,4PM - 6PM,No,,,,, , , 
89715,-80.0024581362564,40.438704073005,188,402407-BLVDAL0203,DOWNTOWN2,BLVD OF ALLIES, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , ,Mon - Fri,7AM - 9AM,4PM - 6PM,No,,,,, , , 
89716,-80.002388398786,40.4385080953683,189,402408-BLVDAL0204,DOWNTOWN2,BLVD OF ALLIES, ,$4 Per Hour,No Max,Mon - Sat,~ 8AM - 6PM, , ,Mon - Fri,7AM - 9AM,4PM - 6PM,No,,,,, , , 
